use,1,1,0,1,0,0,0,0,0
PRICKLE2,prickle-like protein 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
PRKAR1B-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
PRKCQ,protein kinase c theta type ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
PRKG1,subfamily not named ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
PRSS35,inactive serine protease 35 ,serine protease,NA,NA,NA,NA,NA,gene,NA
PRX,periaxin ,NA,NA,NA,NA,NA,NA,gene,NA
PTAFR,platelet-activating factor receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
PTPN21,tyrosine-protein phosphatase non-receptor type 21 ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
PTPRM,receptor-type tyrosine-protein phosphatase mu ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
PURG,purine-rich element-binding protein gamma ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
PYGM,"glycogen phosphorylase, muscle form ",glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
RAB33A,ras-related protein rab-33a ,small gtpase,NA,NA,NA,NA,NA,gene,NA
RAMP2,receptor activity-modifying protein 2 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
RANBP3L,ran-binding protein 3-like ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
RASGRP4,ras guanyl-releasing protein 4 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
RBMS3,"rna-binding motif, single-stranded-interacting protein 3 ",rna metabolism protein,NA,NA,NA,NA,NA,gene,NA
RBPMS,rna-binding protein with multiple splicing ,rna splicing factor,NA,NA,NA,NA,NA,gene,NA
RCAN2,calcipressin-2 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
RECK,reversion-inducing cysteine-rich protein with kazal motifs ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
RFX5,dna-binding protein rfx5 ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
RHOBTB2,rho-related btb domain-containing protein 2 ,small gtpase,NA,NA,NA,NA,NA,gene,NA
RHOJ,rho-related gtp-binding protein rhoj ,small gtpase,NA,NA,NA,NA,NA,gene,NA
RIPK2,receptor-interacting serine/threonine-protein kinase 2 ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
RNF144A,e3 ubiquitin-protein ligase rnf144a ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
RNF166,e3 ubiquitin-protein ligase rnf166 ,NA,NA,NA,NA,NA,NA,gene,NA
ROBO4,roundabout homolog 4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SAMD5,sterile alpha motif domain-containing protein 5 ,NA,NA,NA,NA,NA,NA,gene,NA
SCML4,sex comb on midleg-like protein 4 ,"chromatin/chromatin-binding, or -regulatory protein",NA,NA,NA,NA,NA,gene,NA
SCN2B,sodium channel subunit beta-2 ,myelin protein,NA,NA,NA,NA,NA,gene,NA
SCN4B,sodium channel subunit beta-4 ,myelin protein,NA,NA,NA,NA,NA,gene,NA
SELP,p-selectin ,complement component,NA,NA,NA,NA,NA,gene,NA
SEMA5A,semaphorin-5a ,membrane-bound signaling molecule,NA,NA,NA,NA,NA,gene,NA
SEMA6C,semaphorin-6c ,membrane-bound signaling molecule,NA,NA,NA,NA,NA,gene,NA
SERINC1,serine incorporator 1 ,protein-binding activity modulator,NA,NA,NA,NA,NA,gene,NA
SERPINB9,serpin b9 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
SGCD,delta-sarcoglycan ,cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
SH2D2A,sh2 domain-containing protein 2a ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
SH2D3C,sh2 domain-containing protein 3c ,NA,NA,NA,NA,NA,NA,gene,NA
SH3D19,sh3 domain-containing protein 19 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SH3PXD2A,sh3 and px domain-containing protein 2a ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SH3RF3,e3 ubiquitin-protein ligase sh3rf3 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SHC4,shc-transforming protein 4 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SHROOM4,protein shroom4 ,actin or actin-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
SIDT2,sid1 transmembrane family member 2 ,NA,NA,NA,NA,NA,NA,gene,NA
SIGLEC17P,NA,NA,NA,NA,NA,NA,NA,gene,NA
SIGLEC6,sialic acid-binding ig-like lectin 6 ,immunoglobulin superfamily cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
SIGLEC9,sialic acid-binding ig-like lectin 9 ,immunoglobulin superfamily cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
SIRPB2,signal-regulatory protein beta-2 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
SLC14A2-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
SLC18A2,synaptic vesicular amine transporter ,secondary carrier transporter,NA,NA,NA,NA,NA,gene,NA
SLC2A6,"solute carrier family 2, facilitated glucose transporter member 6 ",NA,NA,NA,NA,NA,NA,gene,NA
SLC8A3,sodium/calcium exchanger 3 ,secondary carrier transporter,NA,NA,NA,NA,NA,gene,NA
SLCO2A1,solute carrier organic anion transporter family member 2a1 ,transporter,NA,NA,NA,NA,NA,gene,NA
SMAD9,mothers against decapentaplegic homolog 9 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
SMIM10L2B,small integral membrane protein 10-like protein 2a-related ,NA,NA,NA,NA,NA,NA,gene,NA
SMTN,smoothelin ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SMTNL1,smoothelin-like protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SNRK,snf-related serine/threonine-protein kinase ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
SOBP,sine oculis-binding protein homolog ,NA,NA,NA,NA,NA,NA,gene,NA
SOCS5,suppressor of cytokine signaling 5 ,kinase modulator,NA,NA,NA,NA,NA,gene,NA
SOD2,"superoxide dismutase [mn], mitochondrial ",oxidoreductase,NA,NA,NA,NA,NA,gene,NA
SORBS1,sorbin and sh3 domain-containing protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SP100,nuclear autoantigen sp-100 ,NA,NA,NA,NA,NA,NA,gene,NA
SPRY1,protein sprouty homolog 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
ST6GALNAC6,"alpha-n-acetylgalactosaminide alpha-2,6-sialyltransferase 6 ",NA,NA,NA,NA,NA,NA,gene,NA
STAC3,sh3 and cysteine-rich domain-containing protein 3 ,NA,NA,NA,NA,NA,NA,gene,NA
STAMBPL1,amsh-like protease ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
STARD13,star-related lipid transfer protein 13 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
STARD8,star-related lipid transfer protein 8 ,gtpase-activating protein,NA,NA,NA,NA,NA,gene,NA
STARD9,star-related lipid transfer protein 9 ,NA,NA,NA,NA,NA,NA,gene,NA
STK10,serine/threonine-protein kinase 10 ,non-receptor serine/threonine protein kinase,NA,NA,NA,NA,NA,gene,NA
SVIL,supervillin ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
SYNC,syncoilin ,NA,NA,NA,NA,NA,NA,gene,NA
SYNE3,nesprin-3 ,NA,NA,NA,NA,NA,NA,gene,NA
SYNPO,synaptopodin ,actin or actin-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
TAL1,t-cell acute lymphocytic leukemia protein 1 ,basic helix-loop-helix transcription factor,NA,NA,NA,NA,NA,gene,NA
TAMALIN,protein tamalin ,NA,NA,NA,NA,NA,NA,gene,NA
TAPBPL,tapasin-related protein ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TBX5,t-box transcription factor tbx5 ,rel homology transcription factor,NA,NA,NA,NA,NA,gene,NA
TBX5-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
TCF7L1,transcription factor 7-like 1 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
TDRD10,tudor domain-containing protein 10 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
TGFB1I1,transforming growth factor beta-1-induced transcript 1 protein ,actin or actin-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
TGFBR2,tgf-beta receptor type-2 ,serine/threonine protein kinase receptor,NA,NA,NA,NA,NA,gene,NA
THEMIS2,protein themis2 ,NA,NA,NA,NA,NA,NA,gene,NA
THSD7B,thrombospondin type-1 domain-containing protein 7b ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
TIMP3,metalloproteinase inhibitor 3 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
TLR1,toll-like receptor 1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TMCC2,transmembrane and coiled-coil domains protein 2 ,NA,NA,NA,NA,NA,NA,gene,NA
TNFRSF17,tumor necrosis factor receptor superfamily member 17 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TNFRSF1B,tumor necrosis factor receptor superfamily member 1b ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TNFRSF4,tumor necrosis factor receptor superfamily member 4 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TNFRSF8,tumor necrosis factor receptor superfamily member 8 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
TNFSF12,tumor necrosis factor ligand superfamily member 12 ,NA,NA,NA,NA,NA,NA,gene,NA
TNS1,tensin-1 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
TNS2,tensin-2 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
TPSAB1,tryptase alpha/beta-1-related ,serine protease,NA,NA,NA,NA,NA,gene,NA
TRAF1,tnf receptor-associated factor 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
TRAK2,trafficking kinesin-binding protein 2 ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
TRAV13-2,t cell receptor alpha variable 13-2 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TRGV5,t cell receptor gamma variable 3-related ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
TRHDE,thyrotropin-releasing hormone-degrading ectoenzyme ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
TRPV2,transient receptor potential cation channel subfamily v member 2 ,ion channel,NA,NA,NA,NA,NA,gene,NA
TSC22D3,tsc22 domain family protein 3 ,NA,NA,NA,NA,NA,NA,gene,NA
TSPAN18,tetraspanin-18 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
TTC28,tetratricopeptide repeat protein 28 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
TUB,tubby protein homolog ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
TXK,tyrosine-protein kinase txk ,non-receptor tyrosine protein kinase,NA,NA,NA,NA,NA,gene,NA
TXNIP,thioredoxin-interacting protein ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
UACA,uveal autoantigen with coiled-coil domains and ankyrin repeats ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
UBL3,ubiquitin-like protein 3 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
UTRN,utrophin ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
VCL,vinculin ,NA,NA,NA,NA,NA,NA,gene,NA
VEGFD,vascular endothelial growth factor d ,growth factor,NA,NA,NA,NA,NA,gene,NA
WAKMAR2,NA,NA,NA,NA,NA,NA,NA,gene,NA
WIPF1,was/wasl-interacting protein family member 1 ,NA,NA,NA,NA,NA,NA,gene,NA
WNT2B,protein wnt-2b ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
XPC,dna repair protein complementing xp-c cells ,damaged dna-binding protein,NA,NA,NA,NA,NA,gene,NA
ZBTB4,zinc finger and btb domain-containing protein 4 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZBTB47,zinc finger and btb domain-containing protein 47 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZCCHC24,NA,NA,NA,NA,NA,NA,NA,gene,NA
ZEB2,zinc finger e-box-binding homeobox 2 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF540,zinc finger protein 540 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF804A,zinc finger protein 804a ,NA,NA,NA,NA,NA,NA,gene,NA
ABCB1,atp-dependent translocase abcb1 ,atp-binding cassette ,NA,NA,NA,NA,NA,gene,NA
ADAMTSL3,adamts-like protein 3 ,metalloprotease,NA,NA,NA,NA,NA,gene,NA
ADGRE1,adhesion g protein-coupled receptor e1 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ADRA1A,alpha-1a adrenergic receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
ALS2,alsin ,NA,NA,NA,NA,NA,NA,gene,NA
AMPD1,amp deaminase 1 ,deaminase,NA,NA,NA,NA,NA,gene,NA
APP,amyloid-beta precursor protein ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
ART4,rna-binding protein nob1 ,NA,NA,NA,NA,NA,NA,gene,NA
ASIC1,acid-sensing ion channel 1 ,ion channel,NA,NA,NA,NA,NA,gene,NA
BRD3,bromodomain-containing protein 3 ,NA,NA,NA,NA,NA,NA,gene,NA
C1orf54,chromosome 1 open reading frame 54 ,NA,NA,NA,NA,NA,NA,gene,NA
C22orf23,upf0193 protein evg1 ,NA,NA,NA,NA,NA,NA,gene,NA
CAD,caspase-activated dnase ,dna metabolism protein,NA,NA,NA,NA,NA,gene,NA
CADM4,cell adhesion molecule 4 ,NA,NA,NA,NA,NA,NA,gene,NA
CBARP-DT,NA,NA,NA,NA,NA,NA,NA,gene,NA
CBX6,chromobox protein homolog 6 ,"chromatin/chromatin-binding, or -regulatory protein",NA,NA,NA,NA,NA,gene,NA
CCN1,ccn family member 1 ,growth factor,NA,NA,NA,NA,NA,gene,NA
CD1D,antigen-presenting glycoprotein cd1d ,major histocompatibility complex protein,NA,NA,NA,NA,NA,gene,NA
CD276,cd276 antigen ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CD28,t-cell-specific surface glycoprotein cd28 ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
CENPBD1P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
CHRM3,muscarinic acetylcholine receptor m3 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
CHST14,carbohydrate sulfotransferase 14 ,transferase,NA,NA,NA,NA,NA,gene,NA
CLASP1,clip-associating protein 1 ,non-motor microtubule binding protein,NA,NA,NA,NA,NA,gene,NA
CMAHP,inactive cytidine monophosphate-n-acetylneuraminic acid hydroxylase ,hydroxylase,NA,NA,NA,NA,NA,gene,NA
CNPY4,protein canopy homolog 4 ,NA,NA,NA,NA,NA,NA,gene,NA
CYRIA,cyfip-related rac1 interactor a ,NA,NA,NA,NA,NA,NA,gene,NA
DCTN1,dynactin subunit 1 ,chaperone,NA,NA,NA,NA,NA,gene,NA
DEPP1,protein depp1 ,NA,NA,NA,NA,NA,NA,gene,NA
DES,desmin ,intermediate filament,NA,NA,NA,NA,NA,gene,NA
DLG2,disks large homolog 2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
DPEP2,dipeptidase 2 ,protease,NA,NA,NA,NA,NA,gene,NA
DUSP26,dual specificity protein phosphatase 26 ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
EFEMP1,egf-containing fibulin-like extracellular matrix protein 1 ,extracellular matrix structural protein,NA,NA,NA,NA,NA,gene,NA
EHBP1,eh domain-binding protein 1 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
EMB,embigin ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
EPN2,epsin-2 ,membrane trafficking regulatory protein,NA,NA,NA,NA,NA,gene,NA
ERFL,ets domain-containing transcription factor erf-like ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
EXTL3,exostosin-like 3 ,glycosyltransferase,NA,NA,NA,NA,NA,gene,NA
F2RL3,proteinase-activated receptor 4 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
FAM107A,actin-associated protein fam107a ,NA,NA,NA,NA,NA,NA,gene,NA
FCER1G,high affinity immunoglobulin epsilon receptor subunit gamma ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
FOXO3B,forkhead box protein o3-related ,winged helix/forkhead transcription factor,NA,NA,NA,NA,NA,gene,NA
FPR2,n-formyl peptide receptor 2 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
FXR2,fragile x mental retardation syndrome-related protein 2 ,translation factor,NA,NA,NA,NA,NA,gene,NA
GADD45B,growth arrest and dna damage-inducible protein gadd45 beta ,NA,NA,NA,NA,NA,NA,gene,NA
GBP3,guanylate-binding protein 3 ,heterotrimeric g-protein,NA,NA,NA,NA,NA,gene,NA
GFRA2,gdnf family receptor alpha-2 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
GLI3,transcriptional activator gli3 ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
GLIPR2,golgi-associated plant pathogenesis-related protein 1 ,defense/immunity protein,NA,NA,NA,NA,NA,gene,NA
HDAC4,histone deacetylase 4 ,histone modifying enzyme,NA,NA,NA,NA,NA,gene,NA
HERC2,e3 ubiquitin-protein ligase herc2 ,guanyl-nucleotide exchange factor,NA,NA,NA,NA,NA,gene,NA
HLA-L,NA,NA,NA,NA,NA,NA,NA,gene,NA
HRC,sarcoplasmic reticulum histidine-rich calcium-binding protein ,NA,NA,NA,NA,NA,NA,gene,NA
IGFBP2,insulin-like growth factor-binding protein 2 ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
IGHJ3,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV1-58,immunoglobulin heavy variable 1-58 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV2-70,immunoglobulin heavy variable 2-70-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGHV4-55,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGHV5-78,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGKV1OR2-6,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGKV2D-24,immunoglobulin kappa variable 2-24-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV2D-40,immunoglobulin kappa variable 2-40-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV3D-7,immunoglobulin kappa variable 3-15-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGKV5-2,immunoglobulin kappa variable 5-2 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLC7,immunoglobulin lambda constant 7 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLJ2,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGLL1,immunoglobulin lambda-like polypeptide 1 ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV2-18,immunoglobulin lambda variable 2-18-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IGLV2-34,NA,NA,NA,NA,NA,NA,NA,gene,NA
IGLV5-45,immunoglobulin lambda variable 5-37-related ,immunoglobulin,NA,NA,NA,NA,NA,gene,NA
IL17RD,interleukin-17 receptor d ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IL3RA,interleukin-3 receptor subunit alpha ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
IPO9,importin-9 ,transporter,NA,NA,NA,NA,NA,gene,NA
ITGAM,integrin alpha-m ,integrin,NA,NA,NA,NA,NA,gene,NA
JSRP1,junctional sarcoplasmic reticulum protein 1 ,NA,NA,NA,NA,NA,NA,gene,NA
KCTD15,btb/poz domain-containing protein kctd15 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
KDM5B,lysine-specific demethylase 5b ,histone modifying enzyme,NA,NA,NA,NA,NA,gene,NA
LEFTY2,left-right determination factor 2 ,growth factor,NA,NA,NA,NA,NA,gene,NA
LGALSL,NA,NA,NA,NA,NA,NA,NA,gene,NA
LSP1,lymphocyte-specific protein 1 ,non-motor actin binding protein,NA,NA,NA,NA,NA,gene,NA
MAGI2,"membrane-associated guanylate kinase, ww and pdz domain-containing protein 2 ",NA,NA,NA,NA,NA,NA,gene,NA
METTL16,rna n6-adenosine-methyltransferase mettl16 ,methyltransferase,NA,NA,NA,NA,NA,gene,NA
METTL7A,methyltransferase-like protein 7a ,methyltransferase,NA,NA,NA,NA,NA,gene,NA
MIR7848,NA,NA,NA,NA,NA,NA,NA,gene,NA
NAV1,neuron navigator 1 ,NA,NA,NA,NA,NA,NA,gene,NA
NEXN,nexilin ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
NTN4,netrin-4 ,extracellular matrix protein,NA,NA,NA,NA,NA,gene,NA
OSCAR,osteoclast-associated immunoglobulin-like receptor ,immunoglobulin receptor superfamily,NA,NA,NA,NA,NA,gene,NA
P2RY14,p2y purinoceptor 14 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
PCAT19,NA,NA,NA,NA,NA,NA,NA,gene,NA
PCDH19,protocadherin-19 ,cadherin,NA,NA,NA,NA,NA,gene,NA
PDE1C,"calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1c ",phosphodiesterase,NA,NA,NA,NA,NA,gene,NA
PGAP1,gpi inositol-deacylase ,transporter,NA,NA,NA,NA,NA,gene,NA
PIP4K2B,phosphatidylinositol 5-phosphate 4-kinase type-2 beta ,kinase,NA,NA,NA,NA,NA,gene,NA
PKHD1L1,fibrocystin-l ,NA,NA,NA,NA,NA,NA,gene,NA
PPM1F,protein phosphatase 1f ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
PRAMENP,NA,NA,NA,NA,NA,NA,NA,gene,NA
PSMB10,proteasome subunit beta type-10 ,protease,NA,NA,NA,NA,NA,gene,NA
PTGIR,prostacyclin receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
PTPRS,receptor-type tyrosine-protein phosphatase s ,protein phosphatase,NA,NA,NA,NA,NA,gene,NA
PWWP3A,pwwp domain-containing dna repair factor 3a ,dna metabolism protein,NA,NA,NA,NA,NA,gene,NA
RAMP3,receptor activity-modifying protein 3 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
RBP5,cellular retinoic acid-binding protein 1 ,transfer/carrier protein,NA,NA,NA,NA,NA,gene,NA
REM1,gtp-binding protein rem 1 ,NA,NA,NA,NA,NA,NA,gene,NA
RFTN1,raftlin ,NA,NA,NA,NA,NA,NA,gene,NA
RNF227,ring finger protein 227 ,ubiquitin-protein ligase,NA,NA,NA,NA,NA,gene,NA
RPL32P1,NA,NA,NA,NA,NA,NA,NA,gene,NA
RTL10,protein bop ,viral or transposable element protein,NA,NA,NA,NA,NA,gene,NA
RTL6,retrotransposon gag-like protein 6 ,viral or transposable element protein,NA,NA,NA,NA,NA,gene,NA
RTN1,reticulon-1 ,NA,NA,NA,NA,NA,NA,gene,NA
SALL2,sal-like protein 2 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
SELENON,selenoprotein n ,NA,NA,NA,NA,NA,NA,gene,NA
SENCR,NA,NA,NA,NA,NA,NA,NA,gene,NA
SERTAD4,serta domain-containing protein 4 ,NA,NA,NA,NA,NA,NA,gene,NA
SHISAL2A,protein shisa-like-2a ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
SIRPB1,signal-regulatory protein beta-1 ,transmembrane signal receptor,NA,NA,NA,NA,NA,gene,NA
SOGA1,protein soga1 ,NA,NA,NA,NA,NA,NA,gene,NA
SOSTDC1,sclerostin domain-containing protein 1 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
SOX12,transcription factor sox-12 ,hmg box transcription factor,NA,NA,NA,NA,NA,gene,NA
ST13,hsc70-interacting protein-related ,NA,NA,NA,NA,NA,NA,gene,NA
TANC2,protein tanc2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
THBS1,thrombospondin-1 ,cell adhesion molecule,NA,NA,NA,NA,NA,gene,NA
TNFSF14,tumor necrosis factor ligand superfamily member 14 ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
TNR,tenascin-r ,intercellular signal molecule,NA,NA,NA,NA,NA,gene,NA
TNRC18,trinucleotide repeat-containing gene 18 protein ,dna-binding transcription factor,NA,NA,NA,NA,NA,gene,NA
TRAJ3,NA,NA,NA,NA,NA,NA,NA,gene,NA
TSHR,thyrotropin receptor ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
TSPAN2,tetraspanin-2 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
UNC119B,protein unc-119 homolog b ,membrane traffic protein,NA,NA,NA,NA,NA,gene,NA
USP22,ubiquitin carboxyl-terminal hydrolase 22 ,cysteine protease,NA,NA,NA,NA,NA,gene,NA
VGLL4,transcription cofactor vestigial-like protein 4 ,transcription cofactor,NA,NA,NA,NA,NA,gene,NA
YLPM1,ylp motif-containing protein 1 ,dna metabolism protein,NA,NA,NA,NA,NA,gene,NA
ZFYVE9,zinc finger fyve domain-containing protein 9 ,NA,NA,NA,NA,NA,NA,gene,NA
ZMAT3,zinc finger matrin-type protein 3 ,rna processing factor,NA,NA,NA,NA,NA,gene,NA
ZNF496,zinc finger protein 496 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF517,zinc finger protein 517 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF70,zinc finger protein 70 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF74,zinc finger protein 74 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNF853,zinc finger protein 853 ,c2h2 zinc finger transcription factor,NA,NA,NA,NA,NA,gene,NA
ZNRF3,e3 ubiquitin-protein ligase znrf3 ,NA,NA,NA,NA,NA,NA,gene,NA
A2M,alpha-2-macroglobulin ,protease inhibitor,NA,NA,NA,NA,NA,gene,NA
ACP5,tartrate-resistant acid phosphatase type 5 ,phosphatase,NA,NA,NA,NA,NA,gene,NA
ACTA2-AS1,NA,NA,NA,NA,NA,NA,NA,gene,NA
ADCY2,adenylate cyclase type 2 ,adenylate cyclase,NA,NA,NA,NA,NA,gene,NA
ADGRB3,adhesion g protein-coupled receptor b3 ,g-protein coupled receptor,NA,NA,NA,NA,NA,gene,NA
AKAP12,a-kinase anchor protein 12 ,scaffold/adaptor protein,NA,NA,NA,NA,NA,gene,NA
AMPH,amphiphysin ,NA,NA,NA,NA,NA,NA,gene,NA
AOAH,acyloxyacyl hydrolase ,hydrolase,NA,NA,NA,NA,NA,gene,NA
ARMC9,lish domain-containing protein armc9 ,microtubule or microtubule-binding cytoskeletal protein,NA,NA,NA,NA,NA,gene,NA
ATP6V1G2,v-type proton atpase subunit g 2 ,atp synthase,NA,NA,NA,NA,NA,gene,NA
ATP8B2,phospholipid-transporting atpase id ,primary active transporter,NA,NA,NA,NA,NA,gene,NA
